Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,51,100553,3339603687724,"3731.
"
PROCESS_OUTPUT,STREAM_STDIO,51,100553,3339603712161,"[VCS]checkNecessityToReduceCpuUsage() [LNC->VCS] isShellUiFgAndGameBgCpuMode = false. There is necessity to reduce cpu usage.
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339732348488,"[SceShellUI] I/PSM.UI : OnFocusActiveSceneChanged [ContentAreaScene : ContentAreaScene] -> [SplashScreen : SplashScreenScene]"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339732476359,"
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339732508649,"[SceShellUI] I/PSM.UI :      Scene [SplashScreen : SplashScreenScene] : Alive"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339732532673,"
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733047609,"SetDeviceIndexBehavior: mode=MergeAllConnectedDevice, param=null"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733083879,"
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733281841,"[Theme/I] : ActiveUserChanged : From : [RED(userId = 10000001)]"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733313693,"
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733336823,"[Theme/I] : ActiveUserChanged : To   : [ANONYMOUS(userId = ffffffff)]"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339733416392,"
"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339734090241,"[Theme/I] : Apply[ANONYMOUS] : [Option:00000028]: without preloaded"
PROCESS_OUTPUT,STREAM_STDIO,46,100353,3339734128912,"
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3341178274672,"[SceSysCore] Prologue finished
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3341178354209,"[SceSysCore] Calling execve.
"
PROCESS_OUTPUT,STREAM_STDIO,40,100383,3341838152933,"[SceShellCore] Main thread has frozen in sceApplicationSignalShellCoreHeartBeat() for 1 seconds
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342891651720,"[Syscore App] Waiting for lock ""AppmgrStateLock"", Current context=""SpawnApp""
"
PROCESS_OUTPUT,STREAM_STDIO,37,100139,3342892277545,"-------Appmgr Dump------
"
